Date of Application,Legal Name,Trade Name 2,App NO,Registration Number,Type of PIBO,Application Status
2023-02-24T12:24:31,CHEMINOVA INDIA LIMITED,Cheminova India Ltd,544825649,2023022406544825649,Brand Owner,In Progress
2023-02-24T13:56:38,ROTO PLAST,ROTO PLAST,544809059,2023022406544809059,Brand Owner,In Progress
2023-02-25T12:10:49,SNL BEARINGS LIMITED,SNL BEARINGS LIMITED,544809165,2023022506544809165,Brand Owner,In Progress
2023-02-28T10:07:32,ESCORTS KUBOTA INDIA PRIVATE LIMITED,Escorts Kubota India Private Limited,544809656,2023022806544809656,Brand Owner,In Progress
2023-02-28T15:57:20,Avalon Cosmetics Private Limited,Avalon Cosmetics Private Limited,544809786,2023022806544809786,Brand Owner,In Progress
2023-03-08T19:33:58,THEOBROMA FOODS PRIVATE LIMITED,Theobroma Foods Private Limited,544811423,2023030806544811423,Brand Owner,In Progress
2023-03-17T12:25:26,M K AGROTECH PRIVATE LIMITED,M.K. AGROTECH PRIVATE LIMITED,544815107,2023031706544815107,Brand Owner,In Progress
2023-03-20T13:38:23,RAWJI FINE FRAGRANCES PRIVATE LIMITED,RAWJI FINE FRAGRANCES PRIVATE LIMITED,544814242,2023032006544814242,Brand Owner,In Progress
2023-03-22T11:39:12,A.R.DAIRY FOOD PVT LTD,RAAJ MILK,544814776,2023032206544814776,Brand Owner,In Progress
2023-03-27T00:55:30,ALP NISHIKAWA COMPANY PRIVATE LIMITED,ALP NISHIKAWA COMPANY PRIVATE LIMITED,544815927,2023032706544815927,Brand Owner,In Progress
2023-03-28T11:52:11,MOMENTIVE PERFORMANCE MATERIALS (INDIA) PVT LTD,MOMENTIVE PERFORMANCE MATERIALS (INDIA) PRIVATE LIMITED,544816287,2023032806544816287,Brand Owner,In Progress
2023-03-29T15:09:38,HILLS CEMENT COMPANY LIMITED,M/S HILLS CEMENT COMPANY LIMITED,544816696,2023032906544816696,Brand Owner,In Progress
2023-03-31T16:43:37,TIWANA OIL MILLS PRIVATE LIMITED,TIWANA OIL MILLS PRIVATE LIMITED,544817637,2023033106544817637,Brand Owner,In Progress
2023-04-01T20:31:27,I,ICEBERG FOODS LIMITED,544817810,2023040106544817810,Brand Owner,In Progress
2023-04-20T13:12:22,VAIGHAI AGRO PRODUCTS LIMITED,VAIGHAI AGRO PRODUCTS LIMITED,544821615,2023042006544821615,Brand Owner,In Progress
